English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Total,الإجمالي,2021-07-03,111340,10749770.0
Clothing and Footwear,الملابس والأحذية,2021-07-24,3635,532974.0
Construction & Building Materials,مواد التشييد والبناء,2021-07-24,530,120280.0
Education,التعليم,2021-07-24,17,3129.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-07-24,414,118975.0
Gas,محطات الوقود,2021-07-24,8487,486081.0
Health,الصحة,2021-07-24,4155,364020.0
Furniture,الأثاث,2021-07-24,608,152202.0
Hotels,الفنادق,2021-07-24,455,183016.0
Public Utilities,المنافع العامة,2021-07-24,691,51336.0
Jewelry,المجوهرات,2021-07-24,164,157185.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-07-24,7693,488496.0
Recreation and Culture,الترفية والثقافة,2021-07-24,1201,175791.0
Restaurants & Café,المطاعم والمقاهي,2021-07-24,23442,1164330.0
Beverage and Food,الأطعمة والمشروبات,2021-07-24,22395,1070523.0
Telecommunication,الاتصالات,2021-07-24,215,57573.0
Transportation,المواصلات,2021-07-24,851,197549.0
Other,أخرى,2021-07-24,9752,800307.0
Total,الإجمالي,2021-07-24,84706,6123767.0
Construction & Building Materials,مواد التشييد والبناء,2020-12-05,817,397466.0
Education,التعليم,2020-12-05,54,87022.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-12-05,741,333311.0
Gas,محطات الوقود,2020-12-05,6981,348571.0
Health,الصحة,2020-12-05,5076,681272.0
Furniture,الأثاث,2020-12-05,867,397007.0
Hotels,الفنادق,2020-12-05,425,155785.0
Public Utilities,المنافع العامة,2020-12-05,592,72175.0
Jewelry,المجوهرات,2020-12-05,204,251871.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-12-05,4338,763908.0
Recreation and Culture,الترفية والثقافة,2020-12-05,1508,312222.0
Restaurants & Café,المطاعم والمقاهي,2020-12-05,23571,1163627.0
Beverage and Food,الأطعمة والمشروبات,2020-12-05,20564,1388083.0
Telecommunication,الاتصالات,2020-12-05,322,84831.0
Transportation,المواصلات,2020-12-05,1155,464751.0
Other,أخرى,2020-12-05,9045,1236563.0
Total,الإجمالي,2020-12-05,80816,9004770.0
Clothing and Footwear,الملابس والأحذية,2020-08-01,6170,1098883.0
Construction & Building Materials,مواد التشييد والبناء,2020-08-01,614,229121.0
Education,التعليم,2020-08-01,24,34208.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-08-01,616,228392.0
Gas,محطات الوقود,2020-08-01,5769,281256.0
Health,الصحة,2020-08-01,4979,651640.0
Furniture,الأثاث,2020-08-01,781,259877.0
Hotels,الفنادق,2020-08-01,330,139954.0
Public Utilities,المنافع العامة,2020-08-01,590,69831.0
Jewelry,المجوهرات,2020-08-01,271,265168.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-08-01,2189,579395.0
Recreation and Culture,الترفية والثقافة,2020-08-01,1561,292865.0
Restaurants & Café,المطاعم والمقاهي,2020-08-01,17745,1076292.0
Beverage and Food,الأطعمة والمشروبات,2020-08-01,17289,1395257.0
Telecommunication,الاتصالات,2020-08-01,251,63184.0
Transportation,المواصلات,2020-08-01,898,370613.0
Other,أخرى,2020-08-01,8238,1160905.0
Total,الإجمالي,2020-08-01,68315,8196841.0
Clothing and Footwear,الملابس والأحذية,2021-03-13,3587,640324.0
Construction & Building Materials,مواد التشييد والبناء,2021-03-13,869,424718.0
Education,التعليم,2021-03-13,50,81402.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-03-13,692,307419.0
Gas,محطات الوقود,2021-03-13,8059,450370.0
Health,الصحة,2021-03-13,5334,661840.0
Furniture,الأثاث,2021-03-13,893,366337.0
Hotels,الفنادق,2021-03-13,414,125254.0
Public Utilities,المنافع العامة,2021-03-13,704,79810.0
Jewelry,المجوهرات,2021-03-13,208,273983.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-03-13,6381,752334.0
Recreation and Culture,الترفية والثقافة,2021-03-13,1538,261467.0
Restaurants & Café,المطاعم والمقاهي,2021-03-13,24964,1103640.0
Beverage and Food,الأطعمة والمشروبات,2021-03-13,22771,1301215.0
Telecommunication,الاتصالات,2021-03-13,340,90444.0
Transportation,المواصلات,2021-03-13,1165,446628.0
Other,أخرى,2021-03-13,9844,1181417.0
Total,الإجمالي,2021-03-13,87814,8548601.0
Clothing and Footwear,الملابس والأحذية,2020-06-27,2865,608087.0
Construction & Building Materials,مواد التشييد والبناء,2020-06-27,747,794850.0
Education,التعليم,2020-06-27,30,76802.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-06-27,692,571251.0
Gas,محطات الوقود,2020-06-27,4175,169185.0
Health,الصحة,2020-06-27,4824,631891.0
Furniture,الأثاث,2020-06-27,744,599444.0
Hotels,الفنادق,2020-06-27,208,73171.0
Public Utilities,المنافع العامة,2020-06-27,479,98125.0
Jewelry,المجوهرات,2020-06-27,268,564100.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-06-27,1654,676995.0
Recreation and Culture,الترفية والثقافة,2020-06-27,1104,294910.0
Restaurants & Café,المطاعم والمقاهي,2020-06-27,14063,716333.0
Beverage and Food,الأطعمة والمشروبات,2020-06-27,14906,1228892.0
Telecommunication,الاتصالات,2020-06-27,229,79075.0
Transportation,المواصلات,2020-06-27,853,691225.0
Other,أخرى,2020-06-27,5946,1317009.0
Total,الإجمالي,2020-06-27,53786,9191345.0
Clothing and Footwear,الملابس والأحذية,2021-08-14,3385,539591.0
Construction & Building Materials,مواد التشييد والبناء,2021-08-14,867,335090.0
Education,التعليم,2021-08-14,63,149119.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-08-14,681,253522.0
Gas,محطات الوقود,2021-08-14,9817,576245.0
Health,الصحة,2021-08-14,5723,677326.0
Furniture,الأثاث,2021-08-14,815,279662.0
Hotels,الفنادق,2021-08-14,575,195788.0
Public Utilities,المنافع العامة,2021-08-14,902,83020.0
Jewelry,المجوهرات,2021-08-14,196,231872.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-08-14,9688,828684.0
Recreation and Culture,الترفية والثقافة,2021-08-14,1521,230163.0
Restaurants & Café,المطاعم والمقاهي,2021-08-14,29898,1250023.0
Beverage and Food,الأطعمة والمشروبات,2021-08-14,26759,1337874.0
Telecommunication,الاتصالات,2021-08-14,377,87761.0
Transportation,المواصلات,2021-08-14,1431,501703.0
Other,أخرى,2021-08-14,11999,1157010.0
Total,الإجمالي,2021-08-14,104697,8714454.0
Clothing and Footwear,الملابس والأحذية,2020-12-19,3416,626357.0
Construction & Building Materials,مواد التشييد والبناء,2020-12-19,760,398768.0
Education,التعليم,2020-12-19,42,65768.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-12-19,621,275810.0
Gas,محطات الوقود,2020-12-19,6327,298261.0
Health,الصحة,2020-12-19,4663,588664.0
Furniture,الأثاث,2020-12-19,760,342280.0
Hotels,الفنادق,2020-12-19,363,133566.0
Public Utilities,المنافع العامة,2020-12-19,539,63290.0
Jewelry,المجوهرات,2020-12-19,164,211729.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-12-19,4107,626526.0
Recreation and Culture,الترفية والثقافة,2020-12-19,1355,247786.0
Restaurants & Café,المطاعم والمقاهي,2020-12-19,21558,994627.0
Beverage and Food,الأطعمة والمشروبات,2020-12-19,19330,1133184.0
Telecommunication,الاتصالات,2020-12-19,267,67982.0
Transportation,المواصلات,2020-12-19,954,410806.0
Other,أخرى,2020-12-19,7919,999393.0
Total,الإجمالي,2020-12-19,73145,7484796.0
Clothing and Footwear,الملابس والأحذية,2021-03-06,3968,703794.0
Construction & Building Materials,مواد التشييد والبناء,2021-03-06,915,448140.0
Education,التعليم,2021-03-06,65,134643.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-03-06,798,345402.0
Gas,محطات الوقود,2021-03-06,8250,473524.0
Health,الصحة,2021-03-06,5812,789338.0
Furniture,الأثاث,2021-03-06,1005,425915.0
Hotels,الفنادق,2021-03-06,377,136032.0
Public Utilities,المنافع العامة,2021-03-06,750,88938.0
Jewelry,المجوهرات,2021-03-06,245,316740.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-03-06,6495,884844.0
Recreation and Culture,الترفية والثقافة,2021-03-06,1686,323571.0
Restaurants & Café,المطاعم والمقاهي,2021-03-06,24382,1052606.0
Beverage and Food,الأطعمة والمشروبات,2021-03-06,24066,1727653.0
Telecommunication,الاتصالات,2021-03-06,415,109396.0
Transportation,المواصلات,2021-03-06,1387,539661.0
Other,أخرى,2021-03-06,10588,1379228.0
Total,الإجمالي,2021-03-06,91204,9879423.0
Clothing and Footwear,الملابس والأحذية,2021-09-11,3623,558221.0
Construction & Building Materials,مواد التشييد والبناء,2021-09-11,899,336093.0
Education,التعليم,2021-09-11,134,246817.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-09-11,745,263828.0
Gas,محطات الوقود,2021-09-11,10455,607386.0
Health,الصحة,2021-09-11,5773,682858.0
Furniture,الأثاث,2021-09-11,860,306805.0
Hotels,الفنادق,2021-09-11,466,140497.0
Public Utilities,المنافع العامة,2021-09-11,944,86905.0
Jewelry,المجوهرات,2021-09-11,185,185381.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-09-11,10408,865489.0
Recreation and Culture,الترفية والثقافة,2021-09-11,2244,275442.0
Restaurants & Café,المطاعم والمقاهي,2021-09-11,31132,1243712.0
Beverage and Food,الأطعمة والمشروبات,2021-09-11,27505,1386325.0
Telecommunication,الاتصالات,2021-09-11,427,95950.0
Transportation,المواصلات,2021-09-11,1515,519227.0
Other,أخرى,2021-09-11,12906,1220117.0
Total,الإجمالي,2021-09-11,110220,9021053.0
Clothing and Footwear,الملابس والأحذية,2020-06-20,1941,392905.0
Construction & Building Materials,مواد التشييد والبناء,2020-06-20,672,642624.0
Education,التعليم,2020-06-20,24,55615.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-06-20,593,455690.0
Gas,محطات الوقود,2020-06-20,3460,137337.0
Health,الصحة,2020-06-20,4562,559152.0
Furniture,الأثاث,2020-06-20,556,417097.0
Hotels,الفنادق,2020-06-20,151,51276.0
Public Utilities,المنافع العامة,2020-06-20,399,78596.0
Jewelry,المجوهرات,2020-06-20,187,373346.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-06-20,1356,525963.0
Recreation and Culture,الترفية والثقافة,2020-06-20,877,227960.0
Restaurants & Café,المطاعم والمقاهي,2020-06-20,10926,534431.0
Beverage and Food,الأطعمة والمشروبات,2020-06-20,14890,1132531.0
Telecommunication,الاتصالات,2020-06-20,191,63485.0
Transportation,المواصلات,2020-06-20,730,568469.0
Other,أخرى,2020-06-20,5190,1044766.0
Total,الإجمالي,2020-06-20,46704,7261242.0
Clothing and Footwear,الملابس والأحذية,2020-10-17,2838,521749.0
Construction & Building Materials,مواد التشييد والبناء,2020-10-17,707,355427.0
Education,التعليم,2020-10-17,40,52335.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-10-17,610,253416.0
Gas,محطات الوقود,2020-10-17,6181,294211.0
Health,الصحة,2020-10-17,4796,603887.0
Furniture,الأثاث,2020-10-17,639,270890.0
Hotels,الفنادق,2020-10-17,345,123702.0
Public Utilities,المنافع العامة,2020-10-17,552,63300.0
Jewelry,المجوهرات,2020-10-17,148,176059.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-10-17,2757,518954.0
Recreation and Culture,الترفية والثقافة,2020-10-17,1319,221903.0
Restaurants & Café,المطاعم والمقاهي,2020-10-17,19939,947650.0
Beverage and Food,الأطعمة والمشروبات,2020-10-17,18620,1127164.0
Telecommunication,الاتصالات,2020-10-17,228,50683.0
Transportation,المواصلات,2020-10-17,952,395239.0
Other,أخرى,2020-10-17,7893,947226.0
Total,الإجمالي,2020-10-17,68564,6923797.0
Construction & Building Materials,مواد التشييد والبناء,2021-03-27,856,436100.0
Education,التعليم,2021-03-27,44,61837.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-03-27,676,327421.0
Gas,محطات الوقود,2021-03-27,7895,426155.0
Health,الصحة,2021-03-27,4912,629596.0
Furniture,الأثاث,2021-03-27,901,400086.0
Hotels,الفنادق,2021-03-27,420,129436.0
Public Utilities,المنافع العامة,2021-03-27,701,78357.0
Jewelry,المجوهرات,2021-03-27,223,316174.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-03-27,6405,731449.0
Recreation and Culture,الترفية والثقافة,2021-03-27,1464,253431.0
Restaurants & Café,المطاعم والمقاهي,2021-03-27,24455,1091641.0
Beverage and Food,الأطعمة والمشروبات,2021-03-27,22464,1398143.0
Telecommunication,الاتصالات,2021-03-27,308,85300.0
Transportation,المواصلات,2021-03-27,1111,442613.0
Other,أخرى,2021-03-27,9767,1248675.0
Total,الإجمالي,2021-03-27,86553,8820932.0
Clothing and Footwear,الملابس والأحذية,2020-08-08,2635,487710.0
Construction & Building Materials,مواد التشييد والبناء,2020-08-08,556,249965.0
Education,التعليم,2020-08-08,15,13849.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-08-08,526,210530.0
Gas,محطات الوقود,2020-08-08,5305,250242.0
Health,الصحة,2020-08-08,4296,501924.0
Furniture,الأثاث,2020-08-08,533,212338.0
Hotels,الفنادق,2020-08-08,390,158797.0
Public Utilities,المنافع العامة,2020-08-08,514,56171.0
Jewelry,المجوهرات,2020-08-08,143,163295.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-08-08,1723,401695.0
Recreation and Culture,الترفية والثقافة,2020-08-08,1030,201752.0
Restaurants & Café,المطاعم والمقاهي,2020-08-08,16624,929366.0
Beverage and Food,الأطعمة والمشروبات,2020-08-08,15600,1049820.0
Telecommunication,الاتصالات,2020-08-08,176,39139.0
Transportation,المواصلات,2020-08-08,822,293193.0
Other,أخرى,2020-08-08,6355,818377.0
Total,الإجمالي,2020-08-08,57243,6038163.0
Clothing and Footwear,الملابس والأحذية,2021-01-09,4364,752452.0
Construction & Building Materials,مواد التشييد والبناء,2021-01-09,781,378552.0
Education,التعليم,2021-01-09,39,62070.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-01-09,640,272505.0
Gas,محطات الوقود,2021-01-09,7096,354466.0
Health,الصحة,2021-01-09,5236,644289.0
Furniture,الأثاث,2021-01-09,853,339506.0
Hotels,الفنادق,2021-01-09,611,276711.0
Public Utilities,المنافع العامة,2021-01-09,580,67805.0
Jewelry,المجوهرات,2021-01-09,214,263467.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-01-09,5071,724906.0
Recreation and Culture,الترفية والثقافة,2021-01-09,1503,305764.0
Restaurants & Café,المطاعم والمقاهي,2021-01-09,24298,1250201.0
Beverage and Food,الأطعمة والمشروبات,2021-01-09,20006,1206103.0
Telecommunication,الاتصالات,2021-01-09,294,74321.0
Transportation,المواصلات,2021-01-09,1107,443536.0
Other,أخرى,2021-01-09,8885,1099824.0
Total,الإجمالي,2021-01-09,81579,8516478.0
Clothing and Footwear,الملابس والأحذية,2021-02-27,2575,458488.0
Construction & Building Materials,مواد التشييد والبناء,2021-02-27,756,397080.0
Education,التعليم,2021-02-27,43,72990.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-02-27,626,276280.0
Gas,محطات الوقود,2021-02-27,7194,382225.0
Health,الصحة,2021-02-27,4543,590103.0
Furniture,الأثاث,2021-02-27,688,313152.0
Hotels,الفنادق,2021-02-27,289,104147.0
Public Utilities,المنافع العامة,2021-02-27,634,68796.0
Jewelry,المجوهرات,2021-02-27,161,235527.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-02-27,5161,641254.0
Recreation and Culture,الترفية والثقافة,2021-02-27,1221,236319.0
Restaurants & Café,المطاعم والمقاهي,2021-02-27,20542,832127.0
Beverage and Food,الأطعمة والمشروبات,2021-02-27,20464,1242508.0
Telecommunication,الاتصالات,2021-02-27,284,64932.0
Transportation,المواصلات,2021-02-27,1016,430559.0
Other,أخرى,2021-02-27,8334,995285.0
Total,الإجمالي,2021-02-27,74531,7341772.0
Clothing and Footwear,الملابس والأحذية,2020-07-11,3121,585774.0
Construction & Building Materials,مواد التشييد والبناء,2020-07-11,670,303152.0
Education,التعليم,2020-07-11,32,53970.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-07-11,588,238657.0
Gas,محطات الوقود,2020-07-11,4994,209857.0
Health,الصحة,2020-07-11,4927,662192.0
Furniture,الأثاث,2020-07-11,643,267611.0
Hotels,الفنادق,2020-07-11,290,103046.0
Public Utilities,المنافع العامة,2020-07-11,543,66859.0
Jewelry,المجوهرات,2020-07-11,165,179706.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-07-11,1848,530507.0
Recreation and Culture,الترفية والثقافة,2020-07-11,1100,205892.0
Restaurants & Café,المطاعم والمقاهي,2020-07-11,16214,845980.0
Beverage and Food,الأطعمة والمشروبات,2020-07-11,16144,1095516.0
Telecommunication,الاتصالات,2020-07-11,230,51912.0
Transportation,المواصلات,2020-07-11,893,376855.0
Other,أخرى,2020-07-11,6526,927127.0
Total,الإجمالي,2020-07-11,58929,6704612.0
